VirusVariant,included sub-lineages,LineageMutations,ECDCClassification
P.1,P.1.4|P.1|P.1.2|P.1.7|P.1.1|P.1.10.1|P.1.8|P.1.11|P.1.12.1|P.1.15|P.1.17.1|P.1.13|P.1.10|P.1.9|P.1.6|P.1.5|P.1.3|P.1.10.2|P.1.17|P.1.12|P.1.14|P.1.16|P.1.7.1,,de-escalated VOC
B.1.351,B.1.351|B.1.351.2|B.1.351.3|B.1.351.1|B.1.351.5,,de-escalated VOC
B.1.1.7,Q.3|B.1.1.7|Q.2|Q.7|Q.6|Q.8|Q.5|Q.4|Q.1,,de-escalated VOC
B.1.427/B.1.429,B.1.427/B.1.429|B.1.427|B.1.429|B.1.429.1,,de-escalated VOI
P.3,P.3,,de-escalated VOI
B.1.525,B.1.525,,de-escalated VOI
B.1.621,BB.2|B.1.621.2|B.1.621|B.1.621.1,,de-escalated VOI
B.1.617.2,AY.45|AY.42|AY.54|AY.46.6|AY.43.7|AY.75|AY.76|AY.4.13|AY.17|AY.39.1.1|AY.118|AY.34|AY.120.1|AY.5.7|AY.99|AY.71|AY.69|AY.28|AY.102.1|AY.33.1|AY.37|AY.3.1|AY.4.9|AY.50|AY.36|AY.102|AY.88|AY.79|AY.4.5|AY.78|AY.87|AY.19|AY.98.1.1|AY.31|AY.127.2|AY.102.2|AY.94|AY.129|AY.24|AY.10|AY.13|AY.16|AY.9.2.1|AY.43.3|AY.62|AY.55|AY.47|AY.9.2|AY.4.1|AY.20|AY.130|AY.46.5|AY.5.6|AY.4.2.3|AY.65|AY.91.1|B.1.617.1|AY.25|AY.122.5|AY.117|AY.70|AY.116|AY.34.2|AY.106|AY.9.2.2|AY.23|AY.77|AY.103|AY.75.2|AY.4.10|AY.39.1.3|AY.120|AY.119.2|AY.5|AY.127|AY.29.2|AY.91|AY.35|AY.4.3|AY.24.1|AY.39|AY.46|AY.125.1|AY.103.2|AY.120.2.1|AY.21|AY.3.4|AY.99.2|AY.43.6|AY.4.2.2|AY.4.7|AY.7.1|AY.29.1|AY.9|AY.72|AY.46.6.1|AY.66|AY.67|AY.43.4|AY.82|AY.4.15|AY.53|AY.123|AY.121|AY.59|AY.46.3|AY.127.1|AY.29|AY.15|AY.4.8|AY.3.3|AY.30|AY.25.2|AY.109|AY.110|AY.5.1|AY.49|AY.119|AY.133|AY.122.3|AY.33.2|AY.131|AY.95|AY.4.17|AY.132|AY.25.3|AY.32|AY.85|AY.128|AY.39.1.2|AY.58|AY.52|AY.5.5|AY.4.4|AY.33|AY.20.1|AY.90|AY.134|AY.60|AY.40|AY.125|AY.4.14|AY.98.1|AY.61|AY.5.4|AY.11|AY.27|AY.103.1|AY.105|AY.126|AY.100|B.1.617|AY.83|AY.124.1|AY.124.1.1|AY.4.2.1|AY.4.16|AY.43.1|AY.64|AY.18|AY.4.2.4|AY.42.1|AY.4.2.5|AY.34.1|AY.98|AY.4.11|AY.114|AY.112.1|AY.123.1|AY.92|AY.122.1|AY.68|AY.43.9|AY.36.1|AY.6|AY.127.3|AY.56|AY.86|AY.44|AY.16.1|AY.43|AY.108|AY.3|AY.41|AY.80|AY.38|AY.7|AY.3.2|AY.84|AY.81|AY.51|AY.23.2|AY.112.2|AY.39.3|AY.8|AY.122.4|AY.4.6|AY.43.2|AY.5.2|AY.4.2|B.1.617.3|AY.43.8|AY.119.1|AY.111|AY.5.3|AY.48|AY.122|AY.116.1|AY.23.1|AY.112|AY.2|AY.43.5|AY.74|AY.4.12|AY.46.4|AY.104|AY.46.1|AY.22|AY.25.1|AY.14|B.1.617.2|AY.1|AY.113|AY.122.2|AY.124|AY.39.2|AY.7.2|AY.73|AY.34.1.1|AY.4|AY.39.1|AY.107|AY.101|AY.25.1.2|AY.25.1.1|AY.26.1|AY.46.2|AY.93|AY.120.2|AY.57|AY.121.1|AY.122.6|AY.26|AY.63|AY.99.1|AY.75.3|AY.39.1.4|AY.112.3,,de-escalated VOC
C.37,C.37|C.37.1,,de-escalated VOI
B.1.1.529,BA.3.1|BA.3|B.1.1.529,,de-escalated VOC
